timestamp,demanda_ejecutado,programacion_diaria,reprogramacion_diaria
2023-01-01 00:30:00,6120.78,6199.31715,6191.21687
2023-01-01 01:00:00,6010.91339,6147.33571,6170.43815
2023-01-01 01:30:00,5946.833,6094.32193,5993.24085
2023-01-01 02:00:00,5846.17,5999.5522,5970.52823
2023-01-01 02:30:00,5756.135,5932.17432,5856.17841
2023-01-01 03:00:00,5661.92386,5844.22187,5853.26106
2023-01-01 03:30:00,5586.487,5769.02685,5797.1474
2023-01-01 04:00:00,5548.777,5673.92474,5797.07721
2023-01-01 04:30:00,5473.079,5651.0156,5676.29621
2023-01-01 05:00:00,5425.172,5595.27853,5669.32831
2023-01-01 05:30:00,5325.396,5564.67046,5495.29007
2023-01-01 06:00:00,5152.34511,5460.06367,5550.06584
2023-01-01 06:30:00,5052.485,5374.61687,5358.04221
2023-01-01 07:00:00,4998.856,5309.71939,5420.31528
2023-01-01 07:30:00,4999.932,5327.06738,5406.64545
2023-01-01 08:00:00,5138.013,5406.46646,5428.53275
2023-01-01 08:30:00,5227.673,5552.36574,5607.75568
2023-01-01 09:00:00,5281.299,5686.24134,5618.40653
2023-01-01 09:30:00,5459.14856,5804.30796,5826.84865
2023-01-01 10:00:00,5568.07817,5889.34017,5845.35582
2023-01-01 10:30:00,5532.79,5946.26294,6013.68218
2023-01-01 11:00:00,5722.76,6007.95539,6067.68274
2023-01-01 11:30:00,5689.529,6066.01885,6101.2118
2023-01-01 12:00:00,5714.203,6097.68612,6111.56072
2023-01-01 12:30:00,5812.151,6108.41552,6115.14876
2023-01-01 13:00:00,5833.729,6112.98396,6154.44375
2023-01-01 13:30:00,5839.33547,6091.44239,6099.46595
2023-01-01 14:00:00,5822.17636,6066.44031,6105.75148
2023-01-01 14:30:00,5875.0796,6049.68275,6092.76134
2023-01-01 15:00:00,5806.10706,6036.93641,6078.49189
2023-01-01 15:30:00,5754.95752,6058.86727,6066.20557
2023-01-01 16:00:00,5774.457,5982.05305,6024.2305
2023-01-01 16:30:00,5668.043,5917.18866,5934.0006
2023-01-01 17:00:00,5662.456,5903.90473,5956.83216
2023-01-01 17:30:00,5728.914,5947.24203,5999.85532
2023-01-01 18:00:00,5850.105,6084.8213,5959.33822
2023-01-01 18:30:00,5992.819,6378.9948,6562.89004
